nombre_ingrediente,categoria_ingrediente,unidad_base,costo_por_unidad,descripcion
Aderezo Chipotle,Aderezos,Gramos,0.17,
Agua Mineral Patrona Mía,Agua,Pieza,10.5,
GÜD Agua de Coco,Agua,Mililitros,0.031,
Monin Base Cristal,Bases,Mililitros,0.3,
Café Tukafe Distinción,Café,Gramos,0.41,
Café Tukafe Tradición,Café,Gramos,0.35,
Pechuga de Pavo San Rafael,Carnes,Gramos,0.36,
Selva NeGramosa,Carnes,Gramos,0.541,
Crema para Batir,Cremas,Mililitros,0.16,
Nutella,Cremas,Gramos,0.185,
Galletas Lotus para Frappé,Galletas,Pieza,0.28,
Miel de Agave,Jarabes,Mililitros,0.155,
GÜD Almendra Barista,Leches,Mililitros,0.048,
GÜD Avena Barista,Leches,Mililitros,0.052,
GÜD Soya Barista Vainilla,Leches,Mililitros,0.031,
Jamón de Pierna,Leches,Gramos,0.33,
Jamón Serrano,Leches,Gramos,0.55,
Leche Bové Barista Deslactosada,Leches,Mililitros,0.036,
Leche Bové Barista Entera,Leches,Mililitros,0.033,
Leche Bové Barista Light,Leches,Mililitros,0.033,
Leche de Avena Oatly,Leches,Mililitros,0.052,
Leche de Coco,Leches,Mililitros,0.048,
Croissant Masa Madre,Panadería,Pieza,34,
Pan de Baguette,Panadería,Pieza,14,
Pan Rebanado Masa Madre,Panadería,Pieza,4.3,
Capuccine Cookies & Cream,Polvos,Gramos,0.48,
Chai Flamingo Vainilla David Río,Polvos,Gramos,0.88,
Matcha Ceremonial,Polvos,Gramos,6.65,
Paladarte Mexicano Base Neutra,Polvos,Gramos,0.3,
Paladarte Tradicional Matcha,Polvos,Gramos,0.45,
Pitahaya Liofilizada,Polvos,Gramos,2.875,
Spiced Chai Sugar Free David Río,Polvos,Gramos,0.88,
Tisana Frutos Rojos,Polvos,Gramos,1.132,
Queso Manchego Nochebuena,Quesos,Gramos,0.186,
Monin Caramelo,Saborizantes,Mililitros,0.3,
Monin Caramelo Sugar Free,Saborizantes,Mililitros,0.3,
Monin Chocolate Blanco,Saborizantes,Mililitros,0.3,
Monin Chocolate Oscuro,Saborizantes,Mililitros,0.3,
Monin Fresa,Saborizantes,Mililitros,0.31,
Monin Vainilla,Saborizantes,Mililitros,0.3,
Monin Vainilla Sugar Free,Saborizantes,Mililitros,0.3,
Routin Basiliscus,Saborizantes,Mililitros,0.303,
Routin Chocolate Ruby,Saborizantes,Mililitros,0.28,
Routin Malvavisco,Saborizantes,Mililitros,0.28,
Routin Pumpkin Spice,Saborizantes,Mililitros,0.28,
Saborizante Chocolate Blanco,Saborizantes,Mililitros,0.28,
Routin Almendra,Saborizantes,Mililitros,0.27,
Routin Avellana Sin Azúcar,Saborizantes,Mililitros,0.28,
Routin Caramelo,Saborizantes,Mililitros,0.27,
Routin Caramelo Sin Azúcar,Saborizantes,Mililitros,0.28,
Routin Chocolate Oscuro,Saborizantes,Mililitros,0.3,
Routin Dulce de Leche,Saborizantes,Mililitros,0.34,
Routin Frappé Mix,Saborizantes,Mililitros,0.27,
Routin Ice Mint,Saborizantes,Mililitros,0.3,
Routin Lavanda,Saborizantes,Mililitros,0.31,
Routin Limón Amarillo,Saborizantes,Mililitros,0.32,
Routin Limón Verde,Saborizantes,Mililitros,0.31,
Routin Lotus,Saborizantes,Mililitros,0.33,
Routin Lychee,Saborizantes,Mililitros,0.33,
Routin Menta Verde,Saborizantes,Mililitros,0.32,
Routin Moras,Saborizantes,Mililitros,0.32,
Routin Salted Caramel,Saborizantes,Mililitros,0.32,
Routin Spicy Mango,Saborizantes,Mililitros,0.3,
Routin Tiramisú,Saborizantes,Mililitros,0.3,
Routin Vainilla Francesa,Saborizantes,Mililitros,0.3,
Routin Vainilla Sugar Free,Saborizantes,Mililitros,0.31,
Monin Salsa de Dulce de Leche,Salsas,Gramos,0.3,
Monin Salsa de Caramelo,Salsas,Mililitros,0.3,
Monin Salsa de Chocolate,Salsas,Mililitros,0.3,
Monin Salsa de Chocolate Blanco,Salsas,Mililitros,0.3,
Salsa Picante Macha,Salsas,Mililitros,0.42,
Routin 1883 Caramelo,Salsas,Mililitros,0.34,
Routin 1883 Chocolate Blanco,Salsas,Mililitros,0.34,
Routin 1883 Chocolate Oscuro,Salsas,Mililitros,0.316,
Sanpellegrino Mineral 250ml,Agua,Pieza,22.81,
Routin Fresa,Saborizantes,Mililitros,0.3,
Croissant de Chocolate,Alimentos,Pieza,42.92,
Roll de Canela,Alimentos,Pieza,51.04,
Cruffin de Nutella,Alimentos,Pieza,48,
Kouign Amman,Alimentos,Pieza,31.32,
Galleta Clásica (Choco y Nuez),Alimentos,Pieza,29,
Galleta Doble Chocolate,Alimentos,Pieza,29,
Galleta de Lotus,Alimentos,Pieza,33,
Brownie Clásico,Alimentos,Pieza,30,
Brownie Nutella,Alimentos,Pieza,35,
Galleta de Avena y Arándano,Alimentos,Pieza,29,
